English,Chinese
trypanosoma cruzi,枯西氏錐蟲
leishmania spp.,利什曼原蟲
entamoeba histolytica,痢疾阿米巴
entamoeba coli,大腸阿米巴
Acanthamoeba spp.,棘阿米巴
endolimax nana,微小阿米巴
iodamoeba butschlii,嗜碘阿米巴
toxoplasma gondii,弓形蟲
babesia spp.,巴貝氏原蟲
cryptosporidium parvum,小隱孢子蟲
giardia lamblia,梨形鞭毛蟲
isospora spp.,等孢子蟲
blastocytis hominis,人芽囊原蟲
toxocara canis,犬蛔蟲
enterobius vermicularis,蟯蟲
ascaris lumbricoides,蛔蟲
necator americanus,美洲鉤蟲
ancylostoma duodenale,十二指腸鉤蟲
ancylostoma caninum,犬鉤蟲
strongyloides stercoralis,糞小桿線蟲
hookworm filariform,鉤蟲幼蟲
trichuris trichiura,鞭蟲
trichinella spiralis,旋毛蟲
angiostrongylus cantonensis,廣東住血線蟲
capillaria philippinensis,菲律賓毛線蟲
plasmodium falciparum,惡性瘧
plasmodium vivax,間日瘧
plasmodium malariae,三日瘧
plasmodium ovale,卵原瘧